Ejecucion,Fitness_F_P(x),x_BB,x_LOP,x_ILI,x_HEAL,x_QUI,x_AUA,Retorno (%),Riesgo (var),Suma_pesos,P(x)
1,-0.002783,0.1821,0.1810,0.0238,0.2236,0.1745,0.2149,39.28,0.002775,1.0000,0.00000000
2,-0.001461,0.2761,0.2123,0.0003,0.1812,0.2115,0.1186,36.82,0.001455,1.0000,0.00000000
3,-0.002199,0.1987,0.2467,0.0057,0.2221,0.1877,0.1390,38.82,0.002198,1.0000,0.00000000
4,-0.001503,0.2693,0.2123,0.0013,0.1860,0.2062,0.1250,36.96,0.001495,1.0000,0.00000000
5,-0.001662,0.2813,0.1803,0.0071,0.2065,0.1811,0.1437,36.87,0.001622,1.0000,0.00000000
6,-0.001472,0.2798,0.1975,0.0004,0.1828,0.1988,0.1407,36.44,0.001466,1.0000,0.00000000
7,-0.001794,0.2483,0.2157,0.0127,0.1853,0.2191,0.1188,38.21,0.001790,1.0000,0.00000000
8,-0.001671,0.2587,0.2054,0.0007,0.2089,0.1623,0.1639,36.70,0.001671,1.0000,0.00000000
9,-0.001711,0.2456,0.2078,0.0002,0.1694,0.2241,0.1528,37.03,0.001686,1.0000,0.00000000
10,-0.001487,0.2931,0.2058,0.0001,0.2041,0.1652,0.1318,36.27,0.001486,1.0000,0.00000000

Indicador Problema 2 - Minimizar riesgo (retorno >= 35%),Retorno (%),Riesgo (var)
Mejor,39.2846,0.001455
Media,37.3405,0.001764
Peor,36.2698,0.002775
Desv. Estandar,0.9909,0.000397
