ejecucion,generacion,mejor,promedio,peor
1,1,0.626859,-2.505799,-10.595536
1,2,0.626859,-4.710432,-15.356054
1,3,0.626859,-3.681702,-15.389238
1,4,0.626859,-2.316628,-10.756583
1,5,0.626859,-1.189114,-7.615833
1,6,0.626859,-1.492244,-9.079380
1,7,0.626859,-0.941245,-8.973525
1,8,0.626859,-0.754196,-8.734546
1,9,0.626859,-1.002519,-5.941380
1,10,0.626859,-0.060159,-6.068767
1,11,0.626859,0.052691,-4.061502
1,12,0.626859,-0.168702,-6.204575
1,13,0.626859,0.162237,-3.592537
1,14,0.626859,0.148288,-4.485589
1,15,0.627147,0.370271,-3.351091
1,16,0.627147,0.059156,-4.196620
1,17,0.627927,0.022288,-5.132531
1,18,0.627927,0.001940,-6.055986
1,19,0.627927,0.149474,-4.633940
1,20,0.627927,0.310029,-2.375455
1,21,0.627927,0.059487,-8.621851
1,22,0.627927,0.416510,-3.814275
1,23,0.627927,-0.046457,-7.209970
1,24,0.627927,0.135545,-4.455366
1,25,0.627927,0.119325,-4.165465
1,26,0.627927,0.152791,-4.536303
1,27,0.627927,0.169868,-4.458054
1,28,0.627927,0.173590,-5.186371
1,29,0.627927,0.261684,-3.573248
1,30,0.627927,0.280470,-3.654675
1,31,0.627927,0.514580,0.271260
1,32,0.627927,0.129408,-5.285955
1,33,0.627927,-0.579477,-5.863581
1,34,0.627927,0.106993,-4.541700
1,35,0.627927,0.189328,-5.317396
1,36,0.627927,0.263614,-4.792170
1,37,0.627927,0.245481,-3.785374
1,38,0.627927,0.188631,-3.483761
1,39,0.627927,0.174350,-6.559064
1,40,0.627927,0.069031,-5.982133
1,41,0.627927,0.292394,-3.415463
1,42,0.627927,0.318535,-2.917624
1,43,0.627927,0.197966,-4.327601
1,44,0.627927,0.175490,-4.285581
1,45,0.627927,0.058293,-5.979555
1,46,0.627927,0.145562,-4.414638
1,47,0.627927,0.004579,-4.869212
1,48,0.627927,0.365115,-3.284758
1,49,0.627927,0.418804,-3.172054
1,50,0.627927,-0.098908,-5.449412
1,51,0.627927,0.204485,-4.542566
1,52,0.627927,0.076858,-5.465024
1,53,0.627927,0.079694,-4.372289
1,54,0.627927,-0.202304,-4.686171
1,55,0.627980,0.116578,-4.103100
1,56,0.627980,-0.133295,-5.483722
1,57,0.627980,-0.358979,-4.805303
1,58,0.627980,0.218709,-4.652215
1,59,0.627980,-0.271274,-6.807706
1,60,0.627980,0.089049,-4.419892
1,61,0.627980,0.154507,-4.200922
1,62,0.627980,0.175916,-5.469361
1,63,0.627980,0.138051,-4.577696
1,64,0.627980,0.403325,-3.323461
1,65,0.627980,0.136333,-4.986644
1,66,0.627980,0.025822,-4.578463
1,67,0.627980,0.189135,-3.920403
1,68,0.628053,0.227023,-4.791719
1,69,0.628053,-0.435002,-10.109185
1,70,0.628053,-0.543631,-9.216525
1,71,0.628053,0.308878,-3.219967
1,72,0.628053,0.329730,-2.835336
1,73,0.628053,-0.526551,-8.060823
1,74,0.628053,0.208150,-4.311498
1,75,0.628053,0.327109,-2.954759
1,76,0.628053,0.285664,-4.204510
1,77,0.628053,0.516029,0.262374
1,78,0.628053,0.229179,-5.236378
1,79,0.628053,-0.731188,-5.177669
1,80,0.628053,-0.373906,-8.265822
1,81,0.628053,-0.314847,-4.466429
1,82,0.628053,-0.299518,-5.558913
1,83,0.629522,0.197360,-1.939810
1,84,0.629522,0.233493,-4.091015
1,85,0.629522,-0.223443,-4.185784
1,86,0.632048,0.020801,-6.730302
1,87,0.632048,-0.057955,-4.789728
1,88,0.632048,-0.176930,-4.878842
1,89,0.632048,0.178947,-4.095885
1,90,0.632048,0.186536,-6.035155
1,91,0.632048,0.227667,-4.331937
1,92,0.632048,0.149410,-6.442610
1,93,0.632048,0.260706,-4.616017
1,94,0.632048,0.185110,-5.148272
1,95,0.632048,0.321684,-4.652365
1,96,0.632048,0.209574,-5.385780
1,97,0.632376,0.364549,-7.322881
1,98,0.632376,0.047484,-3.678698
1,99,0.632376,0.180719,-5.673134
1,100,0.632376,0.290088,-3.562827
1,101,0.632376,0.335349,-2.971208
1,102,0.632376,0.347515,-2.933856
1,103,0.632376,0.363995,-3.342520
1,104,0.632376,0.311465,-4.468989
1,105,0.632376,0.546722,0.364736
1,106,0.632376,-0.331693,-5.985900
1,107,0.632376,0.080883,-5.536090
1,108,0.632376,0.287591,-4.010547
1,109,0.632376,0.227509,-4.149870
1,110,0.632376,0.314348,-5.603390
1,111,0.632376,0.332796,-4.763302
1,112,0.632376,-0.438315,-6.189023
1,113,0.632376,0.022406,-5.472656
1,114,0.632376,0.245867,-6.396562
1,115,0.632376,0.221684,-8.809739
1,116,0.632376,0.391291,-1.505334
1,117,0.632376,0.078229,-5.729228
1,118,0.632376,0.364257,-3.503771
1,119,0.632376,0.423412,-1.386703
1,120,0.632376,0.141822,-3.084125
1,121,0.632376,0.287323,-3.828610
1,122,0.632376,0.391666,-2.480731
1,123,0.632376,0.255985,-5.362458
1,124,0.632376,0.259755,-4.173183
1,125,0.632376,0.357410,-3.534528
1,126,0.632376,0.425148,-4.141770
1,127,0.632376,0.108299,-3.650990
1,128,0.632376,0.330841,-3.780853
1,129,0.632376,0.445804,-3.082149
1,130,0.632376,0.187608,-4.400963
1,131,0.632376,0.370230,-2.636342
1,132,0.632376,-0.087875,-4.601311
1,133,0.632376,0.193391,-4.736254
1,134,0.632376,0.296610,-3.820557
1,135,0.632376,0.194009,-4.248379
1,136,0.632376,0.478712,-1.200112
1,137,0.632376,0.034538,-5.220240
1,138,0.632376,0.240200,-4.323133
1,139,0.632376,0.222077,-3.318909
1,140,0.632376,0.235841,-5.914960
1,141,0.632376,0.487478,-1.175535
1,142,0.632376,0.271300,-4.602735
1,143,0.632376,0.313350,-3.332559
1,144,0.632376,0.244945,-4.210091
1,145,0.632376,0.251111,-4.196161
1,146,0.632376,0.314581,-4.361128
1,147,0.632376,0.343945,-2.460864
1,148,0.632376,0.472148,-2.466349
1,149,0.632376,0.380877,-2.485916
1,150,0.632376,0.328646,-3.809774
1,151,0.632376,0.262156,-4.224879
1,152,0.632376,0.522112,0.261384
1,153,0.632376,-0.272589,-6.021501
1,154,0.632376,0.387554,-2.797806
1,155,0.632376,0.060417,-4.203036
1,156,0.632376,0.370797,-2.837005
1,157,0.632376,-0.314344,-4.487392
1,158,0.634123,0.195046,-3.980390
1,159,0.634123,0.007803,-3.756221
1,160,0.634123,0.302842,-2.159328
1,161,0.634123,0.275880,-3.675790
1,162,0.634123,0.208769,-5.563880
1,163,0.634123,0.421761,-4.148432
1,164,0.634123,-0.138312,-6.591158
1,165,0.634123,0.078152,-5.979223
1,166,0.634123,0.035328,-5.855755
1,167,0.634123,0.421545,-2.836425
1,168,0.634123,0.403289,-1.656048
1,169,0.634123,0.202289,-7.629792
1,170,0.634123,0.224583,-4.053809
1,171,0.634123,0.324140,-3.024429
1,172,0.634123,0.303223,-3.717563
1,173,0.634123,0.272048,-4.695862
1,174,0.634123,0.463351,-2.927377
1,175,0.643790,0.210675,-2.942587
1,176,0.643790,0.173376,-5.882785
1,177,0.643790,-0.280292,-6.528041
1,178,0.643790,-0.003678,-7.430778
1,179,0.643790,0.469298,-1.783783
1,180,0.643790,-0.100390,-8.021301
1,181,0.643790,0.264568,-4.216554
1,182,0.643790,0.200812,-4.008705
1,183,0.643790,0.241556,-5.580579
1,184,0.643790,0.266400,-4.868152
1,185,0.643790,0.355497,-2.909338
1,186,0.643790,0.345478,-3.561074
1,187,0.643790,0.132131,-4.813544
1,188,0.643790,0.202165,-4.912733
1,189,0.643790,0.310181,-3.835970
1,190,0.643790,0.286445,-4.342271
1,191,0.643790,0.433476,-2.530862
1,192,0.643790,0.263938,-5.414228
1,193,0.643790,0.317968,-3.074268
1,194,0.643790,0.451657,-3.308781
1,195,0.643790,-0.083884,-6.392097
1,196,0.643790,0.330658,-3.213467
1,197,0.643790,0.146969,-3.758640
1,198,0.643790,-0.015958,-5.063722
1,199,0.643790,0.234139,-3.778231
1,200,0.643790,0.237756,-3.862490
2,1,0.574508,-4.310201,-20.941649
2,2,0.574508,-5.219409,-16.375941
2,3,0.574508,-4.616384,-19.840076
2,4,0.574508,-4.124335,-16.348032
2,5,0.574508,-2.583806,-16.007923
2,6,0.574508,-1.668183,-8.903206
2,7,0.574508,-1.581658,-8.239030
2,8,0.574508,-1.518829,-7.972588
2,9,0.574508,-0.863914,-5.018223
2,10,0.574508,-0.601064,-8.635388
2,11,0.574508,-0.493629,-4.110567
2,12,0.574508,-0.465275,-5.234424
2,13,0.574508,-0.366025,-3.594159
2,14,0.574508,-0.054994,-2.211672
2,15,0.574508,-0.001608,-1.600403
2,16,0.574508,0.171109,-1.443874
2,17,0.574508,0.189139,-1.827309
2,18,0.574508,0.203975,-2.096797
2,19,0.574508,0.210197,-2.029378
2,20,0.574508,0.297099,-0.921568
2,21,0.574508,0.320482,-1.225190
2,22,0.574508,0.381570,-0.881553
2,23,0.574508,0.336481,-1.224592
2,24,0.574508,0.324778,-1.574263
2,25,0.574508,0.362767,-1.200913
2,26,0.574508,0.349769,-1.782690
2,27,0.574508,0.338884,-2.242595
2,28,0.574508,0.343436,-1.319316
2,29,0.574508,0.315742,-3.032376
2,30,0.574508,0.411677,-0.814058
2,31,0.574508,0.394196,-1.055642
2,32,0.574508,0.345415,-1.890340
2,33,0.574641,0.389106,-2.125292
2,34,0.574641,0.307775,-1.455635
2,35,0.574641,0.501783,0.287056
2,36,0.574641,0.186562,-2.751814
2,37,0.574641,0.227721,-2.582598
2,38,0.575352,0.138556,-2.251948
2,39,0.575352,0.003963,-1.641617
2,40,0.575352,0.044699,-2.780814
2,41,0.575352,0.330658,-1.012185
2,42,0.575352,0.340367,-2.451154
2,43,0.575352,0.344444,-1.367615
2,44,0.575352,0.367360,-1.000039
2,45,0.575419,0.426014,-0.915556
2,46,0.575419,0.208429,-2.898392
2,47,0.575419,0.325494,-1.754411
2,48,0.575419,0.367934,-2.120784
2,49,0.575419,0.434679,-0.733708
2,50,0.575419,0.433827,-0.615808
2,51,0.575419,0.452584,-1.574396
2,52,0.575419,0.254263,-3.214697
2,53,0.575419,0.367213,-0.936337
2,54,0.575419,0.420841,-0.836312
2,55,0.579490,0.476218,-0.542785
2,56,0.579490,0.249281,-1.960556
2,57,0.579490,0.503155,0.285699
2,58,0.579490,0.181488,-2.556588
2,59,0.579490,0.237365,-2.402562
2,60,0.582815,0.327066,-3.407512
2,61,0.582815,0.248195,-2.018754
2,62,0.582815,0.377706,-2.647791
2,63,0.582815,0.117892,-2.907082
2,64,0.582815,0.208869,-2.976580
2,65,0.582815,0.489347,0.143797
2,66,0.582815,0.162563,-1.808098
2,67,0.582815,0.330191,-2.333351
2,68,0.582815,0.120862,-6.937098
2,69,0.582815,0.144445,-1.736956
2,70,0.582815,0.149909,-1.893073
2,71,0.582815,0.246529,-5.289292
2,72,0.582815,0.344120,-3.385458
2,73,0.582815,0.384820,-1.628395
2,74,0.582815,0.404895,-1.546580
2,75,0.582815,0.339099,-2.499891
2,76,0.582815,0.382352,-1.937532
2,77,0.582815,0.368412,-2.657233
2,78,0.582815,0.392133,-1.676373
2,79,0.582815,0.453272,-1.593154
2,80,0.582815,0.422738,-1.031500
2,81,0.582815,0.402884,-2.209334
2,82,0.582815,0.406406,-1.941626
