ejecucion,generacion,mejor,promedio,peor
1,1,0.609515,-0.255979,-1.914345
1,2,0.609515,-0.705677,-4.427426
1,3,0.609515,-0.507362,-3.646564
1,4,0.609515,-0.473057,-5.063534
1,5,0.609515,-0.210413,-2.857440
1,6,0.609515,0.040611,-1.291403
1,7,0.609515,0.142905,-0.520320
1,8,0.609515,0.104871,-0.907531
1,9,0.609515,0.243621,-0.663788
1,10,0.609515,0.285518,-0.584274
1,11,0.610564,0.315885,-0.517533
1,12,0.611826,0.300920,-0.777322
1,13,0.612150,0.297430,-1.617907
1,14,0.612257,0.355467,-1.044362
1,15,0.612257,0.316500,-0.905534
1,16,0.612257,0.402641,-0.307881
1,17,0.612257,0.401275,-0.722134
1,18,0.612257,0.250102,-1.661284
1,19,0.612257,0.436780,-0.716667
1,20,0.612257,0.423236,-1.098141
1,21,0.612257,0.484638,-0.225758
1,22,0.612257,0.497001,-0.307745
1,23,0.612257,0.498357,-0.126148
1,24,0.612257,0.526721,-0.115473
1,25,0.612257,0.520497,-0.014977
1,26,0.612257,0.541395,0.044631
1,27,0.612257,0.459651,-0.730790
1,28,0.612257,0.502685,-0.287730
1,29,0.612257,0.502436,-0.410950
1,30,0.612257,0.485396,-0.316876
1,31,0.612257,0.527062,0.127872
1,32,0.612257,0.520887,-0.120278
1,33,0.612257,0.469235,-0.160583
1,34,0.612257,0.476638,-0.668187
1,35,0.612257,0.450248,-0.392329
1,36,0.612257,0.483202,-0.717839
1,37,0.612257,0.540435,-0.039846
1,38,0.612257,0.528708,0.091821
1,39,0.612257,0.494810,-0.739891
1,40,0.612257,0.560148,0.494613
1,41,0.612257,0.353281,-1.236195
1,42,0.612257,0.513635,-0.171947
1,43,0.612257,0.496246,-0.307291
1,44,0.612257,0.457342,-0.262432
1,45,0.612257,0.552095,-0.135292
1,46,0.612257,0.474480,-0.283759
1,47,0.612257,0.529308,-0.006206
1,48,0.612257,0.518097,-0.216710
1,49,0.614539,0.547306,-0.218918
1,50,0.614539,0.513967,-0.546965
1,51,0.614539,0.486512,-0.654045
1,52,0.614539,0.419545,-1.355436
1,53,0.614539,0.552500,-0.158655
1,54,0.614539,0.510691,-0.213864
1,55,0.614539,0.539057,-0.293075
1,56,0.614539,0.549403,0.028298
1,57,0.615329,0.555885,-0.399343
1,58,0.615329,0.526430,-0.248582
1,59,0.615329,0.565172,0.045311
1,60,0.615329,0.505096,-0.403351
1,61,0.615329,0.556468,-0.032147
1,62,0.615329,0.522459,-0.893861
1,63,0.615621,0.417626,-1.232943
1,64,0.615621,0.504695,-0.278282
1,65,0.615621,0.568157,0.129336
1,66,0.615621,0.556900,-0.095313
1,67,0.615621,0.533328,-0.576326
1,68,0.615621,0.566212,-0.121744
1,69,0.615621,0.552978,-0.219239
1,70,0.615621,0.575467,-0.094648
1,71,0.615621,0.446872,-0.943955
1,72,0.615621,0.582698,0.045382
1,73,0.623647,0.528728,-1.105245
1,74,0.632853,0.542373,-0.947313
1,75,0.635475,0.598541,0.536676
1,76,0.635475,0.601171,0.559698
1,77,0.635475,0.599877,0.551558
1,78,0.635475,0.599807,0.524906
1,79,0.635475,0.601019,0.542886
1,80,0.642916,0.605008,0.542596
1,81,0.642916,0.607236,0.534898
1,82,0.642916,0.610483,0.565108
1,83,0.642916,0.610651,0.538736
1,84,0.642916,0.617881,0.576226
1,85,0.642916,0.618756,0.560027
1,86,0.643550,0.620428,0.546450
1,87,0.644088,0.625253,0.568184
1,88,0.644088,0.627579,0.575425
1,89,0.647428,0.629853,0.588409
1,90,0.647428,0.631622,0.600128
1,91,0.653121,0.635750,0.597822
1,92,0.659362,0.637658,0.611318
1,93,0.659873,0.641125,0.607930
1,94,0.659873,0.640221,0.589498
1,95,0.659873,0.640320,0.588116
1,96,0.659873,0.644310,0.615886
1,97,0.659873,0.648258,0.629353
1,98,0.661228,0.648089,0.620195
1,99,0.662777,0.648491,0.619014
1,100,0.665659,0.649799,0.620759
1,101,0.665659,0.651740,0.622174
1,102,0.665659,0.654159,0.627044
1,103,0.665659,0.654876,0.625926
1,104,0.665659,0.655115,0.624345
1,105,0.666833,0.655678,0.631303
1,106,0.667055,0.657291,0.639947
1,107,0.667673,0.658475,0.625301
1,108,0.667673,0.660406,0.645197
1,109,0.667673,0.660275,0.647325
1,110,0.668969,0.661187,0.640324
1,111,0.668969,0.660275,0.647766
1,112,0.669000,0.660551,0.636296
1,113,0.669000,0.661119,0.633430
1,114,0.669299,0.660531,0.631782
1,115,0.669464,0.661084,0.640910
1,116,0.669918,0.661050,0.615362
1,117,0.669918,0.660392,0.630935
1,118,0.672900,0.663409,0.654188
1,119,0.672900,0.659966,0.623788
1,120,0.672900,0.662218,0.639509
1,121,0.675967,0.660900,0.632735
1,122,0.675967,0.659875,0.604702
1,123,0.675967,0.662467,0.625345
1,124,0.676197,0.664563,0.643156
1,125,0.676197,0.662990,0.635761
1,126,0.676197,0.659134,0.615237
1,127,0.676197,0.659150,0.586718
1,128,0.676197,0.660332,0.623084
1,129,0.676228,0.661910,0.630466
1,130,0.678294,0.663336,0.638965
1,131,0.678294,0.664033,0.619590
1,132,0.678294,0.666419,0.639894
1,133,0.678294,0.667620,0.650292
1,134,0.678313,0.667525,0.645093
1,135,0.678707,0.668662,0.643733
1,136,0.679157,0.670572,0.654700
1,137,0.679157,0.670936,0.645824
1,138,0.679157,0.671014,0.651972
1,139,0.679157,0.672337,0.650424
1,140,0.679172,0.672833,0.652604
1,141,0.679172,0.674810,0.666887
1,142,0.679172,0.675061,0.668307
1,143,0.679172,0.674595,0.662058
1,144,0.679172,0.675337,0.666467
1,145,0.680202,0.675295,0.663665
1,146,0.680202,0.675564,0.662764
1,147,0.680706,0.675959,0.662848
1,148,0.680706,0.674284,0.661770
1,149,0.680847,0.675792,0.658916
1,150,0.680847,0.676386,0.668209
1,151,0.680997,0.676173,0.664228
1,152,0.681497,0.676350,0.661327
1,153,0.681497,0.676287,0.667760
1,154,0.681497,0.676035,0.661908
1,155,0.683291,0.676838,0.665390
1,156,0.683291,0.677048,0.658896
1,157,0.683377,0.677124,0.651745
1,158,0.683377,0.677871,0.651437
1,159,0.683377,0.679297,0.664918
1,160,0.683744,0.679568,0.664604
1,161,0.683744,0.678436,0.658471
1,162,0.683744,0.680270,0.664413
1,163,0.683756,0.681257,0.676064
1,164,0.683939,0.681284,0.671801
1,165,0.684200,0.681413,0.672295
1,166,0.684200,0.680966,0.668427
1,167,0.684200,0.682025,0.668141
1,168,0.684750,0.682240,0.670016
1,169,0.684897,0.682022,0.671223
1,170,0.684897,0.682148,0.668237
1,171,0.684897,0.681445,0.668756
1,172,0.684897,0.682188,0.674200
1,173,0.685209,0.682096,0.673949
1,174,0.685209,0.682773,0.677379
1,175,0.685268,0.682478,0.673846
1,176,0.685268,0.683191,0.673621
1,177,0.685268,0.682966,0.671070
1,178,0.685268,0.682979,0.670428
1,179,0.685271,0.683596,0.676970
1,180,0.685391,0.683568,0.675286
1,181,0.685391,0.683413,0.677221
1,182,0.685391,0.683655,0.675231
1,183,0.685399,0.683616,0.678925
1,184,0.685489,0.683186,0.662871
1,185,0.686120,0.683866,0.675983
1,186,0.686120,0.682683,0.672805
1,187,0.686120,0.681453,0.659039
1,188,0.686120,0.682880,0.670094
1,189,0.686120,0.683361,0.674944
1,190,0.686120,0.683091,0.669523
1,191,0.686120,0.683648,0.673820
1,192,0.686120,0.683518,0.670012
1,193,0.686120,0.684301,0.676801
1,194,0.686121,0.684047,0.666630
1,195,0.687638,0.684994,0.678977
1,196,0.687638,0.684338,0.670269
1,197,0.687638,0.683668,0.669829
1,198,0.687817,0.683038,0.665440
1,199,0.687817,0.683599,0.674188
1,200,0.687817,0.682725,0.652383
2,1,0.651819,-0.312330,-1.640329
2,2,0.651819,-0.595618,-3.944410
2,3,0.651819,-0.498451,-3.645968
2,4,0.651819,-0.074284,-1.692445
2,5,0.651819,0.103167,-1.143555
2,6,0.651819,0.194270,-0.776646
2,7,0.651819,0.231576,-1.162524
2,8,0.651819,0.340238,-0.271088
2,9,0.651819,0.380211,-0.142667
2,10,0.651819,0.358540,-0.289442
2,11,0.651819,0.442455,-0.146398
2,12,0.654420,0.493745,-0.086079
2,13,0.654420,0.454177,-0.115690
2,14,0.654420,0.417020,-0.239827
2,15,0.654420,0.450806,-0.233004
2,16,0.654420,0.383890,-0.873580
2,17,0.654420,0.452039,-0.072903
2,18,0.654420,0.467923,-0.179611
2,19,0.654420,0.464886,-0.481727
2,20,0.654420,0.471740,-0.278318
2,21,0.654420,0.482550,-0.164402
2,22,0.654420,0.476892,-0.264641
2,23,0.654420,0.512304,-1.158947
2,24,0.654420,0.482474,-0.236986
2,25,0.654420,0.446061,-0.739814
2,26,0.654420,0.502223,0.043275
2,27,0.654420,0.453994,-1.021779
2,28,0.654420,0.518611,-0.107550
2,29,0.654420,0.511836,-0.179195
2,30,0.654420,0.518715,-0.141611
2,31,0.654420,0.514182,-0.118582
2,32,0.654420,0.506318,-0.044497
2,33,0.654420,0.491787,-0.412395
2,34,0.654420,0.515181,-0.243232
2,35,0.654420,0.536272,0.198508
2,36,0.654420,0.520380,-0.412597
2,37,0.654420,0.551384,0.240733
2,38,0.654420,0.479654,-0.279222
2,39,0.654420,0.515419,-0.230194
2,40,0.654420,0.521533,-0.039519
2,41,0.654420,0.524610,-0.076082
2,42,0.654420,0.536935,0.101153
2,43,0.654420,0.532292,-0.266308
2,44,0.654420,0.507757,-0.627321
2,45,0.654420,0.508780,-0.337716
2,46,0.654420,0.528233,-0.080713
2,47,0.654420,0.498453,-0.741892
2,48,0.654420,0.528541,-0.092681
2,49,0.658513,0.541068,-0.475936
2,50,0.658513,0.517741,-0.192429
2,51,0.658513,0.508574,-0.252308
2,52,0.658513,0.528289,-0.095119
2,53,0.658513,0.462201,-0.375111
2,54,0.658513,0.531875,0.072754
2,55,0.658513,0.568073,0.391620
2,56,0.658513,0.464674,-0.242904
2,57,0.658513,0.443922,-0.189172
2,58,0.658513,0.422780,-0.359508
2,59,0.658513,0.439926,-0.409575
2,60,0.658513,0.492313,-0.224811
2,61,0.658513,0.498973,-0.399508
2,62,0.658513,0.509973,0.025018
2,63,0.658513,0.542010,0.030007
2,64,0.658513,0.572178,0.495142
2,65,0.658513,0.506103,-0.072970
2,66,0.658513,0.519723,-0.117754
2,67,0.658513,0.569884,0.244636
2,68,0.658513,0.556255,0.124853
2,69,0.658513,0.573216,0.149978
2,70,0.658513,0.517870,0.017557
2,71,0.658513,0.556680,0.093906
2,72,0.658513,0.545768,-0.042990
2,73,0.658513,0.552343,-0.012894
2,74,0.658513,0.570206,0.300532
2,75,0.658513,0.536899,-0.739926
2,76,0.658513,0.554517,0.100603
2,77,0.658513,0.566269,-0.006654
2,78,0.658513,0.550329,-0.243410
2,79,0.658513,0.554682,-0.198332
2,80,0.658513,0.550036,0.046150
2,81,0.658513,0.561477,0.035904
2,82,0.658513,0.578898,0.301188
2,83,0.658513,0.564786,0.036406
2,84,0.658513,0.557586,-0.232496
2,85,0.658513,0.557297,0.024118
2,86,0.658513,0.583006,0.393421
2,87,0.658513,0.563899,-0.099377
2,88,0.658513,0.572683,0.150117
2,89,0.658513,0.567515,0.095513
2,90,0.658513,0.576581,0.291347
2,91,0.658513,0.566236,-0.026841
