Ejecucion,Fitness_F_P(x),x_BB,x_LOP,x_ILI,x_HEAL,x_QUI,x_AUA,Retorno (%),Riesgo (var),Suma_pesos,P(x)
1,0.687817,0.0000,0.1546,0.3899,0.3171,0.1381,0.0003,67.70,N/A,1.0000,0.00000000
2,0.682177,0.0022,0.1126,0.3926,0.2216,0.2540,0.0170,67.30,N/A,1.0000,0.00000000
3,0.690531,0.0013,0.0795,0.3907,0.3222,0.2043,0.0020,68.00,N/A,1.0000,0.00000000
4,0.687313,0.0000,0.1449,0.3907,0.2924,0.1720,0.0000,67.69,N/A,1.0000,0.00000000
5,0.688807,0.0001,0.1367,0.3920,0.3239,0.1473,0.0000,67.91,N/A,1.0000,0.00000000
6,0.669899,0.0121,0.1436,0.3935,0.2573,0.1224,0.0710,66.25,N/A,1.0000,0.00000000
7,0.691384,0.0001,0.0975,0.3893,0.3497,0.1633,0.0001,68.03,N/A,1.0000,0.00000000
8,0.696569,0.0000,0.0175,0.3909,0.3909,0.2007,0.0000,68.60,N/A,1.0000,0.00000000
9,0.697235,0.0000,0.0000,0.3906,0.3901,0.2192,0.0001,68.65,N/A,1.0000,0.00000000
10,0.691982,0.0000,0.0566,0.3908,0.3206,0.2313,0.0006,68.15,N/A,1.0000,0.00000000

Indicador Problema 1 - Maximizar retorno (sin riesgo),Retorno (%),Riesgo (var)
Mejor,68.6487,N/A
Media,67.8291,N/A
Peor,66.2541,N/A
Desv. Estandar,0.6515,N/A
